DATETIME,open,high,low,QUANTITY,1,2,3,4,5,6,7,8,9,10,11,12,RATE,IBS
2022-02-25 09:25:00,163.36,163.71,163.01,4129,4129.0,33968.0,37624.0,27571.0,21126.0,21703.0,31655.0,24937.0,10248.0,-632.0,-8451.0,-11851.0,163.25,0.3428571428571475
2022-02-25 09:30:00,163.26,164.05,163.26,17117,17117.0,21246.0,51085.0,54741.0,44688.0,38243.0,38820.0,48772.0,42054.0,27365.0,16485.0,8666.0,163.92000000000002,0.8354430379746935
2022-02-25 09:35:00,163.88,163.89,162.75,-5238,-5238.0,11879.0,16008.0,45847.0,49503.0,39450.0,33005.0,33582.0,43534.0,36816.0,22127.0,11247.0,162.91000000000003,0.14035087719300607
2022-02-25 09:40:00,162.91,162.93,162.32999999999998,5737,5737.0,499.0,17616.0,21745.0,51584.0,55240.0,45187.0,38742.0,39319.0,49271.0,42553.0,27864.0,162.56,0.3833333333333491
2022-02-25 09:45:00,162.5,162.58999999999997,162.13,8825,8825.0,14562.0,9324.0,26441.0,30570.0,60409.0,64065.0,54012.0,47567.0,48144.0,58096.0,51378.0,162.13,0.0
2022-02-25 09:50:00,162.14999999999998,162.94,162.05,2348,2348.0,11173.0,16910.0,11672.0,28789.0,32918.0,62757.0,66413.0,56360.0,49915.0,50492.0,60444.0,162.15,0.11235955056179309
2022-02-25 09:55:00,162.26999999999998,162.48000000000002,161.88,-8704,-8704.0,-6356.0,2469.0,8206.0,2968.0,20085.0,24214.0,54053.0,57709.0,47656.0,41211.0,41788.0,161.99,0.1833333333333491
2022-02-25 10:00:00,162.05,162.21,161.73000000000002,-11536,-11536.0,-20240.0,-17892.0,-9067.0,-3330.0,-8568.0,8549.0,12678.0,42517.0,46173.0,36120.0,29675.0,161.84,0.22916666666664076
2022-02-25 10:05:00,161.78,161.97,161.39999999999998,-2566,-2566.0,-14102.0,-22806.0,-20458.0,-11633.0,-5896.0,-11134.0,5983.0,10112.0,39951.0,43607.0,33554.0,161.83,0.7543859649123139
2022-02-25 10:10:00,161.83,161.92000000000002,161.31,-87,-87.0,-2653.0,-14189.0,-22893.0,-20545.0,-11720.0,-5983.0,-11221.0,5896.0,10025.0,39864.0,43520.0,161.31,0.0
2022-02-25 10:15:00,161.37,161.75,161.25,-3100,-3100.0,-3187.0,-5753.0,-17289.0,-25993.0,-23645.0,-14820.0,-9083.0,-14321.0,2796.0,6925.0,36764.0,161.55,0.6000000000000227
2022-02-25 10:20:00,161.62,161.92000000000002,161.55,-5024,-5024.0,-8124.0,-8211.0,-10777.0,-22313.0,-31017.0,-28669.0,-19844.0,-14107.0,-19345.0,-2228.0,1901.0,161.88,0.8918918918918379
2022-02-25 10:25:00,161.82,161.89,161.32999999999998,-7298,-7298.0,-12322.0,-15422.0,-15509.0,-18075.0,-29611.0,-38315.0,-35967.0,-27142.0,-21405.0,-26643.0,-9526.0,161.62,0.5178571428571773
2022-02-25 10:30:00,161.7,162.09,161.48000000000002,8869,8869.0,1571.0,-3453.0,-6553.0,-6640.0,-9206.0,-20742.0,-29446.0,-27098.0,-18273.0,-12536.0,-17774.0,162.01,0.8688524590163698
2022-02-25 10:35:00,162.07999999999998,162.17000000000002,161.57,8003,8003.0,16872.0,9574.0,4550.0,1450.0,1363.0,-1203.0,-12739.0,-21443.0,-19095.0,-10270.0,-4533.0,161.64,0.11666666666665088
2022-02-25 10:40:00,161.63,161.9,161.47,13774,13774.0,21777.0,30646.0,23348.0,18324.0,15224.0,15137.0,12571.0,1035.0,-7669.0,-5321.0,3504.0,161.51,0.0930232558139335
2022-02-25 10:45:00,161.5,161.68,161.41,-1800,-1800.0,11974.0,19977.0,28846.0,21548.0,16524.0,13424.0,13337.0,10771.0,-765.0,-9469.0,-7121.0,161.41,0.0
2022-02-25 10:50:00,161.45,161.47,161.28,5277,5277.0,3477.0,17251.0,25254.0,34123.0,26825.0,21801.0,18701.0,18614.0,16048.0,4512.0,-4192.0,161.34,0.3157894736842263
2022-02-25 10:55:00,161.34,162.17000000000002,161.34,5473,5473.0,10750.0,8950.0,22724.0,30727.0,39596.0,32298.0,27274.0,24174.0,24087.0,21521.0,9985.0,162.09,0.9036144578313117
2022-02-25 11:00:00,162.07,162.59,161.92000000000002,6375,6375.0,11848.0,17125.0,15325.0,29099.0,37102.0,45971.0,38673.0,33649.0,30549.0,30462.0,27896.0,162.35,0.6417910447760992
2022-02-25 11:05:00,162.35,162.42000000000002,162.26,261,261.0,6636.0,12109.0,17386.0,15586.0,29360.0,37363.0,46232.0,38934.0,33910.0,30810.0,30723.0,162.41,0.937499999999889
2022-02-25 11:10:00,162.27,162.49,162.03,4899,4899.0,5160.0,11535.0,17008.0,22285.0,20485.0,34259.0,42262.0,51131.0,43833.0,38809.0,35709.0,162.43,0.8695652173913017
2022-02-25 11:15:00,162.4,162.67,162.4,2367,2367.0,7266.0,7527.0,13902.0,19375.0,24652.0,22852.0,36626.0,44629.0,53498.0,46200.0,41176.0,162.47,0.2592592592592515
2022-02-25 11:20:00,162.56,162.57,162.3,-4163,-4163.0,-1796.0,3103.0,3364.0,9739.0,15212.0,20489.0,18689.0,32463.0,40466.0,49335.0,42037.0,162.5,0.7407407407407486
2022-02-25 11:25:00,162.51,162.57,162.34,3839,3839.0,-324.0,2043.0,6942.0,7203.0,13578.0,19051.0,24328.0,22528.0,36302.0,44305.0,53174.0,162.43,0.39130434782611917
2022-02-25 11:30:00,162.51999999999998,162.68,162.33,2642,2642.0,6481.0,2318.0,4685.0,9584.0,9845.0,16220.0,21693.0,26970.0,25170.0,38944.0,46947.0,162.53,0.5714285714285482
2022-02-25 11:35:00,162.59,162.81,162.57,-511,-511.0,2131.0,5970.0,1807.0,4174.0,9073.0,9334.0,15709.0,21182.0,26459.0,24659.0,38433.0,162.78,0.875
2022-02-25 11:40:00,162.73,162.73,162.31,1883,1883.0,1372.0,4014.0,7853.0,3690.0,6057.0,10956.0,11217.0,17592.0,23065.0,28342.0,26542.0,162.57,0.6190476190476158
2022-02-25 11:45:00,162.55,162.67,162.44,-14466,-14466.0,-12583.0,-13094.0,-10452.0,-6613.0,-10776.0,-8409.0,-3510.0,-3249.0,3126.0,8599.0,13876.0,162.67,1.0
2022-02-25 11:50:00,162.66,162.95999999999998,162.66,1113,1113.0,-13353.0,-11470.0,-11981.0,-9339.0,-5500.0,-9663.0,-7296.0,-2397.0,-2136.0,4239.0,9712.0,162.95999999999998,1.0
2022-02-25 11:55:00,162.97,163.01,162.83,6986,6986.0,8099.0,-6367.0,-4484.0,-4995.0,-2353.0,1486.0,-2677.0,-310.0,4589.0,4850.0,11225.0,162.93,0.5555555555555907
2022-02-25 12:00:00,163.0,163.04000000000002,162.57,3228,3228.0,10214.0,11327.0,-3139.0,-1256.0,-1767.0,875.0,4714.0,551.0,2918.0,7817.0,8078.0,162.60000000000002,0.06382978723410174
2022-02-25 12:05:00,162.60000000000002,162.62,162.39,-1905,-1905.0,1323.0,8309.0,9422.0,-5044.0,-3161.0,-3672.0,-1030.0,2809.0,-1354.0,1013.0,5912.0,162.51,0.5217391304347612
2022-02-25 12:10:00,162.49,162.66,162.48000000000002,1963,1963.0,58.0,3286.0,10272.0,11385.0,-3081.0,-1198.0,-1709.0,933.0,4772.0,609.0,2976.0,162.66,1.0
2022-02-25 12:15:00,162.68,162.71,162.47,-6538,-6538.0,-4575.0,-6480.0,-3252.0,3734.0,4847.0,-9619.0,-7736.0,-8247.0,-5605.0,-1766.0,-5929.0,162.68,0.875
2022-02-25 12:20:00,162.68,162.68,162.44,2256,2256.0,-4282.0,-2319.0,-4224.0,-996.0,5990.0,7103.0,-7363.0,-5480.0,-5991.0,-3349.0,490.0,162.62,0.75
2022-02-25 12:25:00,162.51,162.92000000000002,162.51,26703,26703.0,28959.0,22421.0,24384.0,22479.0,25707.0,32693.0,33806.0,19340.0,21223.0,20712.0,23354.0,162.84,0.8048780487804692
2022-02-25 12:30:00,162.94,163.4,162.83,7932,7932.0,34635.0,36891.0,30353.0,32316.0,30411.0,33639.0,40625.0,41738.0,27272.0,29155.0,28644.0,163.4,1.0
2022-02-25 12:35:00,163.41000000000003,163.85000000000002,163.41000000000003,8293,8293.0,16225.0,42928.0,45184.0,38646.0,40609.0,38704.0,41932.0,48918.0,50031.0,35565.0,37448.0,163.8,0.8863636363636099
2022-02-25 12:40:00,163.8,163.8,163.34,-4728,-4728.0,3565.0,11497.0,38200.0,40456.0,33918.0,35881.0,33976.0,37204.0,44190.0,45303.0,30837.0,163.34,0.0
2022-02-25 12:45:00,163.36,163.56,163.07,-1127,-1127.0,-5855.0,2438.0,10370.0,37073.0,39329.0,32791.0,34754.0,32849.0,36077.0,43063.0,44176.0,163.23,0.32653061224488494
